electrode_id	probe_id	location
523	NeuropixelsImec0	right dCA1
524	NeuropixelsImec0	right dCA1
525	NeuropixelsImec0	right dCA1
526	NeuropixelsImec0	right dCA1
527	NeuropixelsImec0	right dCA1
528	NeuropixelsImec0	right dCA1
529	NeuropixelsImec0	right dCA1
530	NeuropixelsImec0	right dCA1
531	NeuropixelsImec0	right dCA1
532	NeuropixelsImec0	right dCA1
533	NeuropixelsImec0	right dCA1
534	NeuropixelsImec0	right dCA1
535	NeuropixelsImec0	right dCA1
536	NeuropixelsImec0	right dCA1
537	NeuropixelsImec0	right dCA1
538	NeuropixelsImec0	right dCA1
539	NeuropixelsImec0	right dCA1
540	NeuropixelsImec0	right dCA1
541	NeuropixelsImec0	right dCA1
542	NeuropixelsImec0	right dCA1
543	NeuropixelsImec0	right dCA1
544	NeuropixelsImec0	right dCA1
545	NeuropixelsImec0	right dCA1
546	NeuropixelsImec0	right dCA1
547	NeuropixelsImec0	right dCA1
548	NeuropixelsImec0	right dCA1
549	NeuropixelsImec0	right dCA1
550	NeuropixelsImec0	right dCA1
551	NeuropixelsImec0	right dCA1
552	NeuropixelsImec0	right dCA1
553	NeuropixelsImec0	right dCA1
554	NeuropixelsImec0	right dCA1
555	NeuropixelsImec0	right dCA1
556	NeuropixelsImec0	right dCA1
557	NeuropixelsImec0	right dCA1
558	NeuropixelsImec0	right dCA1
559	NeuropixelsImec0	right dCA1
560	NeuropixelsImec0	right dCA1
561	NeuropixelsImec0	right dCA1
562	NeuropixelsImec0	right dCA1
563	NeuropixelsImec0	right dCA1
564	NeuropixelsImec0	right dCA1
565	NeuropixelsImec0	right dCA1
566	NeuropixelsImec0	right dCA1
567	NeuropixelsImec0	right dCA1
568	NeuropixelsImec0	right dCA1
569	NeuropixelsImec0	right dCA1
570	NeuropixelsImec0	right dCA1
571	NeuropixelsImec0	right dCA1
572	NeuropixelsImec0	right dCA1
573	NeuropixelsImec0	right dCA1
574	NeuropixelsImec0	right dCA1
575	NeuropixelsImec0	right dCA1
576	NeuropixelsImec0	right dCA1
577	NeuropixelsImec0	right dCA1
578	NeuropixelsImec0	right dCA1
579	NeuropixelsImec0	right dCA1
580	NeuropixelsImec0	right dCA1
581	NeuropixelsImec0	right dCA1
582	NeuropixelsImec0	right dCA1
583	NeuropixelsImec0	right dCA1
584	NeuropixelsImec0	right dCA1
585	NeuropixelsImec0	right dCA1
586	NeuropixelsImec0	right dCA1
587	NeuropixelsImec0	right dCA1
588	NeuropixelsImec0	right dCA1
589	NeuropixelsImec0	right dCA1
590	NeuropixelsImec0	right dCA1
591	NeuropixelsImec0	right dCA1
592	NeuropixelsImec0	right dCA1
593	NeuropixelsImec0	right dCA1
594	NeuropixelsImec0	right dCA1
595	NeuropixelsImec0	right dCA1
596	NeuropixelsImec0	right dCA1
597	NeuropixelsImec0	right dCA1
598	NeuropixelsImec0	right dCA1
599	NeuropixelsImec0	right dCA1
600	NeuropixelsImec0	right dCA1
601	NeuropixelsImec0	right dCA1
602	NeuropixelsImec0	right dCA1
603	NeuropixelsImec0	right dCA1
604	NeuropixelsImec0	right dCA1
605	NeuropixelsImec0	right dCA1
606	NeuropixelsImec0	right dCA1
607	NeuropixelsImec0	right dCA1
608	NeuropixelsImec0	right dCA1
609	NeuropixelsImec0	right dCA1
610	NeuropixelsImec0	right dCA1
611	NeuropixelsImec0	right dCA1
612	NeuropixelsImec0	right dCA1
613	NeuropixelsImec0	right dCA1
614	NeuropixelsImec0	right dCA1
615	NeuropixelsImec0	right dCA1
616	NeuropixelsImec0	right dCA1
617	NeuropixelsImec0	right dCA1
618	NeuropixelsImec0	right dCA1
619	NeuropixelsImec0	right dCA1
620	NeuropixelsImec0	right dCA1
621	NeuropixelsImec0	right dCA1
622	NeuropixelsImec0	right dCA1
623	NeuropixelsImec0	right dCA1
624	NeuropixelsImec0	right dCA1
625	NeuropixelsImec0	right dCA1
626	NeuropixelsImec0	right dCA1
627	NeuropixelsImec0	right dCA1
628	NeuropixelsImec0	right dCA1
629	NeuropixelsImec0	right dCA1
630	NeuropixelsImec0	right dCA1
631	NeuropixelsImec0	right dCA1
632	NeuropixelsImec0	right dCA1
633	NeuropixelsImec0	right dCA1
634	NeuropixelsImec0	right dCA1
635	NeuropixelsImec0	right dCA1
636	NeuropixelsImec0	right dCA1
637	NeuropixelsImec0	right dCA1
638	NeuropixelsImec0	right dCA1
639	NeuropixelsImec0	right dCA1
640	NeuropixelsImec0	right dCA1
641	NeuropixelsImec0	right dCA1
642	NeuropixelsImec0	right dCA1
643	NeuropixelsImec0	right dCA1
644	NeuropixelsImec0	right dCA1
645	NeuropixelsImec0	right dCA1
646	NeuropixelsImec0	right dCA1
647	NeuropixelsImec0	right dCA1
648	NeuropixelsImec0	right dCA1
649	NeuropixelsImec0	right dCA1
650	NeuropixelsImec0	right dCA1
651	NeuropixelsImec0	right dCA1
652	NeuropixelsImec0	right dCA1
653	NeuropixelsImec0	right dCA1
654	NeuropixelsImec0	right dCA1
655	NeuropixelsImec0	right dCA1
656	NeuropixelsImec0	right dCA1
657	NeuropixelsImec0	right dCA1
658	NeuropixelsImec0	right dCA1
659	NeuropixelsImec0	right dCA1
660	NeuropixelsImec0	right dCA1
661	NeuropixelsImec0	right dCA1
662	NeuropixelsImec0	right dCA1
663	NeuropixelsImec0	right dCA1
664	NeuropixelsImec0	right dCA1
665	NeuropixelsImec0	right dCA1
666	NeuropixelsImec0	right dCA1
667	NeuropixelsImec0	right dCA1
668	NeuropixelsImec0	right dCA1
669	NeuropixelsImec0	right dCA1
670	NeuropixelsImec0	right dCA1
671	NeuropixelsImec0	right dCA1
672	NeuropixelsImec0	right dCA1
673	NeuropixelsImec0	right dCA1
674	NeuropixelsImec0	right dCA1
675	NeuropixelsImec0	right dCA1
676	NeuropixelsImec0	right dCA1
677	NeuropixelsImec0	right dCA1
678	NeuropixelsImec0	right dCA1
679	NeuropixelsImec0	right dCA1
680	NeuropixelsImec0	right dCA1
681	NeuropixelsImec0	right dCA1
682	NeuropixelsImec0	right dCA1
683	NeuropixelsImec0	right dCA1
684	NeuropixelsImec0	right dCA1
685	NeuropixelsImec0	right dCA1
686	NeuropixelsImec0	right dCA1
687	NeuropixelsImec0	right dCA1
688	NeuropixelsImec0	right dCA1
689	NeuropixelsImec0	right dCA1
690	NeuropixelsImec0	right dCA1
691	NeuropixelsImec0	right dCA1
692	NeuropixelsImec0	right dCA1
693	NeuropixelsImec0	right dCA1
694	NeuropixelsImec0	right dCA1
695	NeuropixelsImec0	right dCA1
696	NeuropixelsImec0	right dCA1
697	NeuropixelsImec0	right dCA1
698	NeuropixelsImec0	right dCA1
699	NeuropixelsImec0	right dCA1
